t1,t2,t3,t4,xr2,yr2,xr3,yr3,xr4,yr4,EAB
1.785,1.635,1.423,1.652,6.024,2.996,4.389,2.942,6.486,1.745,0.37 
1.984,1.646,1.516,1.157,4.795,1.505,3.603,1.96,5.77,2.624,0.39 
1.908,1.017,1.397,1.268,5.557,1.932,5.648,2.232,5.46,2.807,0.37 
1.305,1.55,1.581,1.473,4.719,2.854,3.486,2.877,6.215,1.503,0.59 
1.697,1.668,1.408,1.259,6.176,2.425,3.877,2.098,4.059,2.32,0.43 
1.443,1.879,1.658,1.18,3.641,2.302,5.417,1.801,4.41,1.644,0.60 
1.126,1.185,1.628,1.742,5.331,2.724,6.281,2.01,6.109,1.971,0.38 
1.311,1.535,1.609,1.473,3.483,2.011,5.59,1.823,3.632,2.074,0.49 
1.169,1.072,1.759,1.464,5.451,2.237,4.565,2.396,5.028,2.078,0.55 
1.066,1.165,1.64,1.815,3.837,2.04,5.098,1.847,4.084,2.358,0.55 
1.537,1.165,1.889,1.862,3.286,2.667,5.877,1.792,4.232,1.784,0.60 
1.847,1.575,1.161,1.965,5.585,2.63,4.88,2.543,3.731,2.468,0.49 
1.075,1.056,1.347,1.137,3.563,1.893,6.097,2.122,5.097,1.977,0.25 
1.061,1.489,1.664,1.978,4.323,1.594,3.422,2.722,3.053,2.108,0.61 
1.237,1.305,1.198,1.378,4.134,2.01,4.011,1.916,5.893,1.599,0.49 
1.894,1.652,1.51,1.462,5.643,2.611,5.664,2.338,5.512,2.549,0.35 
1.538,1.706,1.551,1.261,3.024,2.692,6.169,1.501,4.359,2.77,0.52 
1.179,1.84,1.047,1.861,5.064,2.961,4.256,2.014,3.78,2.773,0.69 
1.384,1.409,1.335,1.369,6.071,2.822,5.463,2.972,5.343,1.904,0.32 
1.297,1.786,1.946,1.056,3.162,2.013,4.605,1.78,3.025,1.978,0.54 
1.204,1.168,1.68,1.647,5.057,2.53,5.746,1.992,5.181,1.727,0.51 
1.259,1.56,1.18,1.062,5.696,1.999,5.878,2.435,4.798,1.723,0.33 
1.271,1.488,1.587,1.03,3.027,1.592,5.513,2.197,3.237,1.884,0.30 
1.625,1.443,1.541,1.103,5.774,1.881,5.88,1.713,6.327,1.777,0.42 
1.131,1.973,1.023,1.785,4.194,2.841,5.957,2.785,5.268,1.544,0.47 
1.412,1.81,1.107,1.841,6.36,2.352,4.984,2.169,5.258,2.466,0.43 
1.04,1.637,1.106,1.579,3.114,1.515,5.438,2.057,6.051,1.68,0.34 
1.662,1.07,1.553,1.047,3.164,1.77,3.531,1.955,5.133,1.558,0.45 
1.314,1.471,1.531,1.819,6.062,2.229,3.675,1.975,3.422,2.948,0.70 
1.812,1.176,1.736,1.495,3.72,2.572,6.376,1.914,4.674,2.986,0.39 
1.01,1.042,1.9,1.293,3.753,2.467,5.685,2.523,3.179,1.832,0.36 
1.521,1.757,1.436,1.353,6.186,1.958,4.5,1.668,4.644,2.961,0.44 
1.824,1.405,1.109,1.639,5.363,2.289,3.292,2.427,3.984,1.981,0.58 
1.13,1.386,1.669,1.864,3.178,2.914,3.351,1.602,4.849,2.262,0.48 
1.635,1.11,1.444,1.672,3.995,1.665,4.736,2.526,5.722,2.908,0.23 
1.381,1.02,1.488,1.583,4.17,2.836,4.856,2.938,4.072,2.761,0.56 
1.582,1.594,1.55,1.109,4.531,1.607,6.179,2.833,5.964,2.475,0.20 
1.581,1.157,1.657,1.964,5.268,1.833,5.76,1.811,3.488,2.473,0.62 
1.089,1.718,1.922,1.717,5.026,2.022,3.666,1.606,3.463,2.327,0.73 
1.847,1.713,1.123,1.577,4.904,2.994,3.208,2.52,5.351,2.675,0.42 
1.751,1.755,1.081,1.411,3.082,1.959,5.829,2.447,4.863,1.715,0.35 
1.599,1.175,1.685,1.731,4.736,1.658,3.771,2.37,4.006,2.402,0.71 
1.468,1.595,1.085,1.347,5.859,2.677,5.879,1.746,4.526,1.858,0.39 
1.947,1.059,1.763,1.78,3.319,1.997,5.801,1.79,3.027,2.853,0.50 
1.756,1.445,1.539,1.521,3.154,2.689,6.193,1.514,3.673,1.786,0.56 
1.141,1.184,1.679,1.91,5.82,2.456,3.812,2.639,3.011,1.515,0.65 
1.624,1.827,1.745,1.93,4.717,1.726,5.033,1.89,3.729,1.819,0.71 
1.735,1.818,1.356,1.674,4.851,1.837,5.804,1.87,4.348,1.55,0.57 
1.93,1.123,1.173,1.803,3.229,2.776,3.701,1.888,5.077,1.615,0.60 
1.61,1.213,1.836,1.054,4.699,2.088,3.695,1.988,4.489,2.734,0.63 
1.625,1.483,1.884,1.946,6.102,2.13,3.164,1.657,5.618,2.956,0.18 
1.536,1.564,1.526,1.35,5.495,2.584,3.288,1.951,6.034,2.501,0.48 
1.782,1.344,1.072,1.734,4.546,1.596,6.471,1.831,5.824,2.691,0.32 
1.406,1.924,1.583,1.653,5.647,2.449,4.944,1.959,4.664,1.895,0.63 
1.832,1.372,1.393,1.769,5.547,2.817,6.48,2.234,4.195,2.511,0.44 
1.81,1.101,1.335,1.2,5.544,2.719,6.384,2.292,4.734,2.963,0.35 
1.891,1.077,1.211,1.75,5.702,2.856,3.208,1.508,3.801,2.978,0.46 
1.104,1.081,1.156,1.388,4.365,2.392,6.292,2.614,3.553,2.896,0.38 
