tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
6.283,14.447,1.532,9.617,12.241,6.31,15.273,5.24,10.688,4.783,136
5.391,13.306,1.566,9.577,12.793,5.285,12.316,5.341,11.556,5.878,138
6.372,13.53,1.083,9.197,12.838,5.681,11.751,4.114,10.859,3.718,136
9.498,14.068,1.083,9.447,13.136,6.145,11.573,4.982,11.196,5.898,139
9.782,15.386,1.692,9.404,14.826,3.971,10.895,3.53,10.281,5.986,141
6.03,12.46,1.773,8.63,10.203,3.308,10.031,4.31,12.218,6.196,130
5.62,15.689,1.107,9.996,15.41,3.408,14.103,4.343,13.079,3.914,135
8.325,14.864,1.201,8.996,13.967,4.499,12.842,3.367,14.594,4.741,138
8.068,18.961,1.202,9.302,12.64,4.52,14.676,4.622,12.472,4,137
5.562,13.808,1.384,8.149,10.859,3.026,15.493,4.382,13.194,6.32,136
7.971,17.546,1.991,9.4,12.855,4.624,11.129,4.438,12.921,4.328,141
8.147,13.349,1.399,9.04,11.642,4.063,12.559,4.235,11.984,4.61,138
11.235,16.967,1.238,9.681,12.986,5.784,14.361,4.855,13.564,3.872,140
6.766,14.473,1.982,9.615,11.001,5.995,14.859,5.91,14.735,5.619,137
11.117,15.929,1.086,8.348,10.857,4.344,15.179,5.613,14.312,3.547,138
8.939,14.759,1.779,8.563,12.321,4.297,15.345,5.287,10.965,4.191,139
11.003,13.208,1.595,8.426,11.318,5.902,13.412,4.249,15.208,6.126,138
5.428,16.562,1.405,8.222,15.395,3.187,11.862,5.887,11.618,5.602,137
7.78,13.688,1.607,9.832,15.334,6.325,14.584,4.618,15.409,6.362,134
9.331,17.957,1.96,8.708,10.547,4.534,10.618,3.931,10.192,3.936,134
10.377,17.778,1.836,8.077,14.891,3.669,12.901,6.076,15.402,6.451,131
6.223,12.701,1.172,8.329,14.402,4.759,13.989,3.318,11.816,5.775,137
10.577,14.48,1.593,9.159,13.81,6.123,15.018,5.784,12.314,6.171,137
7.173,13.462,1.812,8.347,14.787,4.21,15.499,6.381,11.51,3.886,136
8.7,18.341,1.058,9.21,14.857,6.31,13.333,6.379,13.924,6.323,134
7.981,12.561,1.537,9.152,13.997,3.75,11.11,5.035,14.601,3.437,138
11.241,18.55,1.488,8.457,15.229,6.092,12.789,5.505,11.732,6.324,140
11.492,14.482,1.825,9.902,10.415,3.533,11.152,5.678,13.538,5.437,141
5.062,16.417,1.291,8.068,11.295,6.199,14.412,4.917,10.207,3.065,136
7.319,14.395,1.158,8.71,14.214,3.219,12.535,3.94,14.094,4.412,137
7.233,19.509,1.348,9.431,10.698,6.322,10.077,5.161,14.057,3.398,136
9.814,16.946,1.092,9.414,14.133,4.592,14.566,5.662,14.177,3.038,140
6.103,16.656,1.512,8.445,14.171,3.514,12.738,6.058,10.148,4.847,138
6.656,17.563,1.403,8.02,13.045,5.328,10.515,3.194,11.746,6.218,137
11.72,18.119,1.671,8.371,14.679,3.01,11.597,3.472,10.908,5.92,140
9.861,16.531,1.925,8.862,10.828,5.9,10.767,3.378,11.062,4.335,137
10.169,17.126,1.294,9.819,14.751,4.831,13.952,6.104,14.357,4.119,140
5.599,12.07,1.275,9.544,13.753,4.344,13.175,5.837,10.256,6.175,137
11.932,13.072,1.86,9.414,10.606,4.771,13.712,3.294,13.589,4.514,140
8.628,18.698,1.092,8.737,14.869,4.379,14.978,3.41,10.953,5.241,138
9.867,16.589,1.075,9.735,15.436,4.646,15.307,5.557,15.343,3.985,138
10.706,17.092,1.963,9.88,13.646,4.604,14.888,4.853,10.931,6.452,140
8.891,16.772,1.296,8.047,15.449,3.886,13.476,4.853,13.5,5.497,138
7.829,17.724,1.682,8.859,13.833,4.777,11.706,4.669,15.059,3.955,139
5.972,14.786,1.048,8.437,13.544,5.852,13.683,4.313,14.636,3.014,134
7.619,16.509,1.013,8.714,12.776,3.89,14.085,5.163,14.48,5.545,137
5.514,16.117,1.054,8.867,10.211,3.985,10.116,6.411,11.973,5.41,137
5.727,16.725,1.592,9.45,14.684,5.03,12.776,5.103,13.301,4.909,138
11.73,13.716,1.686,9.752,10.528,5.633,11.539,4.31,10.348,4.989,141
7.579,15.437,1.139,8.008,15.073,5.268,12.504,4.065,14.245,4.2,136
6.101,14.278,1.23,9.589,11.363,6.177,15.45,5.379,15.055,4.479,135
7.325,16.698,1.639,8.453,10.871,3.051,14.293,3.357,15.018,5.659,137
5.517,19.918,1.886,8.222,13.63,6.314,15.301,5.598,10.171,4.59,140
7.312,17.758,1.636,9.451,10.925,4.84,12.377,3.603,14.872,4.773,140
6.181,17.482,1.899,9.301,13.72,6.103,12.75,3.356,15.224,3.025,139
