tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
7.603,14.564,2.39,8.199,14.057,3.526,13.08,3.451,14.22,5.071,86
11.235,12.677,2.268,9.809,11.019,1.102,13.89,6.13,11.71,4.988,84
6.396,12.294,1.019,8.702,15.17,4.616,12.899,6.083,15.499,4.395,62
10.561,19.913,1.71,8.178,10.712,4.145,11.424,3.942,10.294,5.85,66
8.321,14.187,1.542,9.314,10.843,5.548,15.363,4.059,13.509,4.915,106
9.548,16.06,3.426,9.644,15.49,3.3,12.135,1.364,15.118,1.834,68
5.131,15.29,1.004,8.357,13.024,6.456,13.888,5.442,10.897,3.425,51
5.845,15.229,2.264,8.189,14.948,3.731,15.418,2.285,11.039,2.052,43
6.184,12.097,2.146,9.562,13.121,2.278,14.42,6.344,13.204,4.421,82
10.175,17.015,3.262,9.539,10.101,3.379,10.765,3.051,12.8,3.168,66
11.571,19.692,2.646,9.141,12.372,5.081,13.161,6.214,11.197,5.012,64
6.836,18.932,2.807,9.634,10.198,5.938,11.004,6.183,13.57,4.229,81
5.324,12.028,1.415,9.922,10.421,4.778,10.599,2.153,15.097,5.707,84
11.394,15.601,2.201,9.325,11.207,6.354,14.006,1.194,10.181,5.881,79
8.305,17.603,1.719,9.111,13.45,3.155,14.608,5.084,12.273,3.246,91
7.91,18.968,1.524,8.342,13.191,2.624,11.97,6.172,11.063,6.497,70
9.86,14.77,2.133,9.25,10.489,5.898,10.073,2.294,14.288,1.413,68
6.553,17.781,2.94,8.627,10.07,2.45,10.645,2.553,12.616,5.016,72
6.849,18.946,2.602,8.923,12.249,3.015,12.791,2.668,15.393,1.483,73
10.936,14.579,1.324,8.062,14.5,1.547,12.595,5.258,14.979,1.05,45
11.123,13.95,1.614,8.784,13.1,3.846,14.634,1.149,11.835,2.738,75
10.018,18.458,1.363,8.681,12.847,1.15,14.874,1.614,13.463,2.04,46
9.064,15.746,1.764,9.461,14.545,3.081,14.699,4.223,14.085,2.225,77
7.919,19.838,1.522,8.409,11.999,3.011,13.71,1.231,14.608,6.025,67
7.264,16.812,2.215,8.903,14.803,4.439,14.93,2.481,14.347,2.162,72
10.496,17.507,1.504,8.404,12.504,5.442,11.567,1.754,13.101,2.804,62
7.949,19.413,2.817,9.727,14.864,5.959,15.458,4.546,11.954,3.189,69
10.008,12.176,1.1,9.058,14.746,4.698,13.692,2.672,11.557,6.055,89
6.235,18.002,3.42,8.136,11.61,2.049,14.63,1.922,15.016,2.859,67
5.736,12.801,2.084,8.716,13.678,3.242,14.998,4.088,13.875,5.19,85
6.809,19.022,3.122,8.965,11.888,5.229,10.465,1.053,10.926,5.064,78
10.881,17.917,1.013,8.19,11.81,1.693,13.905,1.646,13.667,3.51,60
5.142,14.344,2.982,8.416,10.614,5.236,14.032,3.148,11.081,4.799,102
6.602,18.246,2.107,9.109,11.47,3.51,15.493,2.509,12.99,3.943,87
7.799,12.593,1.965,9.05,10.796,5.914,10.964,2.055,13.935,3.453,81
10.514,14.808,3.071,9.189,10.539,3.69,11.069,2.085,10.368,4.422,63
8.979,12.624,2.125,8.592,12.056,2.56,13.612,1.749,13.733,2.532,81
10.524,18.812,3.019,8.469,12.178,1.554,12.025,1.409,15.333,1.693,70
11.839,15.375,2.797,9.119,12.542,1.647,13.563,2.715,14.545,3.503,60
8.31,19.55,2.877,9.585,12.254,3.39,15.072,4.854,11.977,5.104,74
11.73,14.373,2.316,8.186,11.315,6.096,10.003,2.78,11.956,5.664,88
7.321,14.564,2.423,8.143,13.466,5.521,15.24,1.096,11.241,4.166,93
8.91,13.124,2.026,8.455,12.075,2.021,11.679,5.693,12.013,2.225,74
7.614,16.328,1.829,8.249,13.395,6.084,15.218,4.507,15.431,1.447,81
9.853,17.646,1.091,9.396,15.351,2.118,11.914,5.997,11.308,5.018,68
10.398,17.692,1.871,9.264,15.472,3.07,15.428,5.889,12.697,5.076,81
7.722,12.389,1.883,9.615,10.991,5.62,10.436,3.984,13.284,4.501,89
10.601,14.345,3.184,8.841,10.092,4.925,10.413,3.231,11.954,4.418,71
6.131,19.802,1.951,9.363,13.076,1.486,15.49,2.793,10.138,5.487,82
8.326,18.543,1.202,8.316,13.355,5.744,14.422,5.407,10.476,4.715,59
6.754,19.786,2.346,9.819,11.623,1.252,11.981,2.937,10.928,1.272,61
10.534,18.352,2.185,9.501,11.682,6.387,15.286,3.48,14.665,1.232,54
10.906,13.289,3.314,8.67,15.162,2.713,10.607,1.307,12.238,4.567,59
11.785,16.655,1.955,8.959,15.273,6.018,11.446,6.045,11.711,1.72,61
11.674,14.288,2.123,8.581,14.576,2.856,15.254,4.462,14.014,3.426,78
9.404,16.178,2.753,8.801,13.656,1.412,14.754,1.285,12.628,5.22,61
5.686,14.421,1.536,8.104,14.79,5.219,12.601,2.728,15.435,4.583,81
6.892,12.782,2.337,8.097,14.305,1.038,14.388,2.634,14.917,2.033,65
8.133,16.499,1.204,9.589,14.187,2.601,13.69,2.931,10.918,4.862,74
11.942,15.264,3.234,9.933,12.554,3.243,10.013,2.268,10.825,1.878,63
9.118,13.165,2.987,9.664,12.338,1.278,14.942,5.786,14.625,3.601,66
10.899,17.932,1.258,8.198,13.311,6.056,10.521,5.791,10.436,1.049,45
8.932,14.939,2.47,8.842,13.934,1.676,12.852,3.759,12.575,1.245,71
10.002,16.19,1.218,9.158,13.285,3.446,12.982,5.333,13.085,5.612,95
7.353,19.913,2.696,9.818,10.501,1.644,11.34,6.43,13.732,3.531,74
6.266,15.394,1.425,9.867,14.723,2.537,12.156,3.956,11.826,4.947,89
7.563,13.324,2.37,9.027,12.278,3.264,13.011,4.175,11.159,3.954,84
6.327,19.212,2.413,8.502,12.393,5.619,11.169,3.546,13.935,1.664,72
7.769,17.275,2.059,9.009,12.854,1.372,10.287,3.691,13.619,2.409,75
5.115,19.769,1.501,8.662,13.78,2.467,12.233,3.118,13.69,3.216,60
6.13,14.847,3.153,8.16,13.938,6.202,11.66,2.183,13.712,5.207,72
7.683,15.788,1.088,8.701,12.26,4.789,12.986,2.202,10.4,4.226,51
6.08,16.85,3.099,9.417,14.848,1.327,14.545,6.24,14.426,3.872,75
6.047,17.007,2.328,8.167,11.697,3.34,14.852,1.226,13.438,2.358,72
5.64,15.462,1.671,8.46,11.611,4.833,14.966,6.209,13.199,4.386,83
8.371,13.111,2.07,8.393,11.242,5.995,13.993,4.583,11.732,5.244,90
6.816,13.013,1.804,8.964,14.747,2.872,15.062,1.119,10.353,5.324,82
11.347,17.429,2.205,9.314,10.272,4.338,14.239,1.788,14.487,5.291,66
7.672,14.16,2.238,9.49,15.128,6.042,14.153,1.431,12.512,2.035,40
6.114,19.643,1.812,9.568,13.746,5.058,10.588,3.903,14.081,6.406,62
6.179,17.695,3.013,9.57,11.5,3.25,10.33,5.68,15.37,3.285,77
6.556,13.767,1.239,9.948,15.43,1.195,10.149,6.16,10.902,2.428,57
